group,sentence,condition,environment,png,expected
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если тот шлем, который вы дадите ему, чёрный, ему нужно дать скейтборд.",p_critical,antecedent,pic9.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если тот мячик, котрый вы дадите ему, зелёный, ему нужно дать ракетку.",p_critical,antecedent,pic11.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если те коньки, которые вы дадите ему, белые, ему нужно дать клюшку.",p_critical,antecedent,pic12.png,1
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если вы дадите ему скейтборд, тот шлем, который вы дадите ему, должен быть чёрным.",p_critical,consequent,pic9.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если вы дадите ему ракетку, тот мячик, который вы дадите ему, должен быть зелёным.",p_critical,consequent,pic11.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если вы дадите ему клюшку, те коньки, которые вы дадите ему, должны быть белыми.",p_critical,consequent,pic12.png,1
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если вы дадите ему скейтборд, ему нужно дать чёрный шлем.",control,,pic9.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если вы дадите ему ракетку, ему нужно дать зелёный мячик.",control,,pic11.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если вы дадите ему клюшку, ему нужно дать белые коньки.",control,,pic12.png,1
A,"На него нужно надеть кепку. Ему не нужно давать карандаш. Но, если вы дадите ему зелёную линейку, ему нужно дать карандаш.",false conditional filler,,pic23.png,0
A,"На него нужно надеть шляпу. Ему не нужно давать банан. Но, если вы дадите ему полосатую сумку, ему нужно дать фотоаппарат.",false conditional filler,,pic18.png,0
A,"На него нужно надеть очки. Ему не нужно давать глобус. Но, если вы дадите ему красный шарф, ему нужно дать глобус.",false conditional filler,,pic16.png,0
A,"На него нужно надеть наушники. Ему не нужно давать леденец. Но, если вы дадите ему красную кружку, ему нужно дать леденец.",false conditional filler,,pic20.png,0
A,"На него нужно надеть ботинки. Ему не нужно давать метлу. Но, если вы дадите ему чёрный зонт, ему нужно дать метлу.",false conditional filler,,pic25.png,0
A,"На него нужно надеть шляпу. Ему не нужно давать трубку. Но, если вы дадите ему чёрный портфель, ему нужно дать трубку.",false conditional filler,,pic27.png,0
A,"На него нужно надеть очки. Ему не нужно давать ручку. Но, если вы дадите ему зелёную тетрадь, ему нужно дать ручку.",false conditional filler,,pic28.png,0
A,"На него нужно надеть резиновые перчатки. Ему не нужно давать швабру. Но, если вы дадите ему красное ведро, ему нужно дать швабру.",false conditional filler,,pic29.png,0
A,"На него нужно надеть наушники. Ему не нужно давать поварёшку. Но, если вы дадите ему красную кастрюлю, ему нужно дать поварёшку.",false conditional filler,,pic30.png,0
A,"На него нужно надеть очки. Ему не нужно давать карандаши. Но, если вы дадите ему жёлтый пенал, ему нужно дать карандаши.",false conditional filler,,pic31.png,0
A,"На него нужно надеть галстук. Ему не нужно давать микрофон. Но, если вы дадите ему гитару, ему нужно дать микрофон.",false conditional filler,,pic32.png,0
A,"На него нужно надеть кепку. Ему не нужно давать корзинку. Но, если вы дадите ему цветок, ему нужно дать корзинку.",false conditional filler,,pic33.png,0
A,На него нужно надеть шапку. Ему не нужно давать блокнот. Ему нужно дать полосатую сумку и фотоаппарат.,conjunction filler,,pic18.png,0
A,На него нужно надеть очки. Ему не нужно давать скейтборд. Ему нужно дать зелёный шарф и глобус.,conjunction filler,,pic17.png,0
A,На него нужно надеть наушники. Ему не нужно давать гитару. Ему нужно дать белую кружку и леденец.,conjunction filler,,pic21.png,0
A,На него нужно надеть ботинки. Ему не нужно давать ракетку. Ему нужно дать чёрный зонт и метлу.,conjunction filler,,pic25.png,0
A,На него нужно надеть полосатый галстук. Ему не нужно давать портфель. Ему нужно дать трубку и рюкзак.,conjunction filler,,pic3.png,0
A,На него нужно надеть кепку. Ему не нужно давать рюкзак. Ему нужно дать карандаш и циркуль.,conjunction filler,,pic24.png,1
A,На него нужно надеть полосатые носки. Ему не нужно давать метлу. Ему нужно дать швабру и красное ведро.,conjunction filler,,pic6.png,1
A,На него нужно надеть наушники. Ему не нужно давать сковородку. Ему нужно дать красную кастрюлю и поварёшку.,conjunction filler,,pic14.png,1
A,На него нужно надеть очки. Ему не нужно давать тетрадь. Ему нужно дать жёлтый пенал и карандаши.,conjunction filler,,pic15.png,1
A,На него нужно надеть галстук. Ему не нужно давать скрипку. Ему нужно дать микрофон и гитару.,conjunction filler,,pic34.png,1
A,На него нужно надеть кепку. Ему не нужно давать зонт. Ему нужно дать цветок и корзинку.,conjunction filler,,pic35.png,1
A,На него нужно надеть очки. Ему не нужно давать карандаш. Ему нужно дать зелёную тетрадь и ручку.,conjunction filler,,pic5.png,1
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если тот шлем, который вы дадите ему, чёрный, ему нужно дать скейтборд.",p_true,,pic8.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если тот мячик, котрый вы дадите ему, зелёный, ему нужно дать ракетку.",p_true,,pic10.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если те коньки, которые вы дадите ему, белые, ему нужно дать клюшку.",p_true,,pic13.png,1
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если вы дадите ему скейтборд, тот шлем, который вы дадите ему, должен быть чёрным.",p_true,,pic8.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если вы дадите ему ракетку, тот мячик, который вы дадите ему, должен быть зелёным.",p_true,,pic10.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если вы дадите ему клюшку, те коньки, которые вы дадите ему, должны быть белыми.",p_true,,pic13.png,1